display_name,short_label,system_id,lane,run_intent,provider,deployment,local,backend,reasoner,router,retriever,reasoner_display_name,router_display_name,retriever_display_name,reasoner_params_b,router_params_b,retriever_params_b,total_params_b,input_cost_per_mtok,output_cost_per_mtok,episode_count,pass_count,refine_count,fail_count,artifact_quality_avg,browser_workflow_avg,strict_interface_avg,recovered_execution_avg,real_world_readiness_avg,escalation_correctness_avg,created_at,run_group_id,output_dir,color,reasoner_backend,router_backend,retriever_backend
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,18,18,0,0,1.0,0.9942222222222222,1.0,1.0,0.932711111111111,1.0,20260410T040135Z,20260410T040135Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T040135Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9308833333333334,1.0,20260410T130214Z,20260410T130214Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130214Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,21,21,0,0,0.9983000000000001,0.9928619047619048,1.0,1.0,0.9329095238095239,1.0,20260410T130254Z,20260410T130254Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130254Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,0.9974333333333334,1.0,1.0,1.0,0.9624400000000001,1.0,20260410T130313Z,20260410T130313Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130313Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,1.0,1.0,1.0,0.96296,1.0,20260410T130424Z,20260410T130424Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130424Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,21,21,0,0,1.0,0.9928619047619048,1.0,1.0,0.9332571428571428,1.0,20260410T130424Z,20260410T130424Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130424Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,1,1,0,0,1.0,0.9836,1.0,1.0,0.9056,1.0,20260410T023058Z,20260410T023058Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/checkpoint_smoke,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,3,3,0,0,1.0,1.0,1.0,1.0,0.9382666666666667,1.0,20260410T035959Z,20260410T035959Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/live_policy_hardening_oracle,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,1.0,1.0,1.0,0.96296,1.0,20260410T130424Z,20260410T130424Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/live_web_stress,#9CA3AF,oracle,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,1,1,0,0,1.0,0.9836,1.0,1.0,0.9056,1.0,20260410T024346Z,20260410T024346Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_exec_hold,#1D4ED8,hf_service,heuristic,heuristic
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,4,2,0,0,1.0,1.0,1.0,1.0,0.9074,1.0,20260410T023225Z,20260410T023225Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_reasoner_pilot,#1D4ED8,hf_service,heuristic,heuristic
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,1,1,0,0,1.0,0.9828,1.0,1.0,0.9981,1.0,20260410T141755Z,20260410T141755Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_billing_refusal_replayable_v2,#1D4ED8,hf_service,hf,hf
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,3,3,0,0,1.0,0.9895999999999999,1.0,1.0,0.9062666666666667,1.0,20260410T034744Z,20260410T034744Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_cross_role,#1D4ED8,hf_service,hf,hf
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,9,8,0,1,1.0,0.9939333333333332,0.9555555555555555,0.9444444444444444,0.8956555555555555,1.0,20260410T124046Z,20260410T124046Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_cross_role_broad_v1,#1D4ED8,hf_service,hf,hf
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,9,9,0,0,1.0,0.9939333333333332,1.0,1.0,0.9174666666666665,1.0,20260410T124851Z,20260410T124851Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_cross_role_broad_v2,#1D4ED8,hf_service,hf,hf
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,live_web_stress,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,12,12,0,0,1.0,1.0,1.0,1.0,0.9691333333333333,1.0,20260410T141407Z,20260410T141407Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_cross_role_hardmix_live_v1,#1D4ED8,hf_service,hf,hf
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),Gemma 4 + specialists local,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,huggingface,local_cpu_specialists,True,hf_service,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,0.0,0.0,12,11,0,1,1.0,0.9914000000000001,1.0,0.9583333333333334,0.9037000000000001,0.9166666666666666,20260410T141119Z,20260410T141119Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/model_backed_hf_specialists_cross_role_hardmix_replayable_v1,#1D4ED8,hf_service,hf,hf
